cidade,uf,regiao,codmun,pop_dou_2017,Jornal,Online,Rádio,Revista,Televisão,tipos_existentes,total_fontes,fontes_100k_hab
BOA VENTURA,PB,Nordeste,2502102,5349,0,0,0,0,0,Nenhum,0,0
BOA VENTURA DE SÃO ROQUE,PR,Sul,4103040,6665,0,0,0,0,0,Nenhum,0,0
BOA VIAGEM,CE,Nordeste,2302404,54049,0,0,3,0,0,Um,3,5.55051897352402
BOA VISTA,PB,Nordeste,2502151,7083,0,0,0,0,0,Nenhum,0,0
BOA VISTA,RR,Norte,1400100,332020,4,3,9,0,11,Vários,27,8.13204023853985
BOA VISTA DA APARECIDA,PR,Sul,4103057,7911,0,0,0,0,1,Um,1,12.640626975098
BOA VISTA DAS MISSÕES,RS,Sul,4302154,2167,0,0,0,0,0,Nenhum,0,0
BOA VISTA DO BURICÁ,RS,Sul,4302204,6829,0,0,0,0,1,Um,1,14.6434324205594
BOA VISTA DO CADEADO,RS,Sul,4302220,2526,0,0,0,0,0,Nenhum,0,0
BOA VISTA DO GURUPI,MA,Nordeste,2101970,9320,0,0,0,0,0,Nenhum,0,0
BOA VISTA DO INCRA,RS,Sul,4302238,2579,0,0,0,0,0,Nenhum,0,0
BOA VISTA DO RAMOS,AM,Norte,1300680,18483,0,0,0,0,0,Nenhum,0,0
BOA VISTA DO SUL,RS,Sul,4302253,2859,0,0,0,0,0,Nenhum,0,0
BOA VISTA DO TUPIM,BA,Nordeste,2903805,19502,0,0,0,0,1,Um,1,5.12767921238847
BOCA DA MATA,AL,Nordeste,2701001,27590,0,0,0,0,1,Um,1,3.62450163102573
BOCA DO ACRE,AM,Norte,1300706,34176,0,0,0,0,0,Nenhum,0,0
BOCAINA,PI,Nordeste,2201804,4428,0,0,0,0,0,Nenhum,0,0
BOCAINA,SP,Sudeste,3506805,12040,0,0,0,0,0,Nenhum,0,0
BOCAINA DE MINAS,MG,Sudeste,3107208,5185,0,0,0,0,0,Nenhum,0,0
BOCAINA DO SUL,SC,Sul,4202438,3456,0,0,0,0,0,Nenhum,0,0
BOCAIÚVA,MG,Sudeste,3107307,50168,0,0,2,0,1,Vários,3,5.97990751076383
BOCAIÚVA DO SUL,PR,Sul,4103107,12477,0,0,0,0,2,Um,2,16.0294942694558
BODÓ,RN,Nordeste,2401651,2307,0,0,0,0,0,Nenhum,0,0
BODOCÓ,PE,Nordeste,2602001,37816,0,0,0,0,0,Nenhum,0,0
BODOQUENA,MS,Centro-Oeste,5002159,7820,0,0,0,0,1,Um,1,12.7877237851662
BOFETE,SP,Sudeste,3506904,11236,0,0,0,0,0,Nenhum,0,0
BOITUVA,SP,Sudeste,3507001,57910,2,0,1,0,0,Vários,3,5.18045242617855
BOM CONSELHO,PE,Nordeste,2602100,48214,0,1,2,0,1,Vários,4,8.29634545982495
BOM DESPACHO,MG,Sudeste,3107406,50042,2,0,4,0,1,Vários,7,13.9882498701091
BOM JARDIM,MA,Nordeste,2102002,41120,0,0,0,0,0,Nenhum,0,0
BOM JARDIM,PE,Nordeste,2602209,39025,0,0,0,0,0,Nenhum,0,0
BOM JARDIM,RJ,Sudeste,3300506,26566,1,0,0,0,1,Vários,2,7.52841978468719
BOM JARDIM DA SERRA,SC,Sul,4202503,4694,0,0,0,0,1,Um,1,21.3037920749893
BOM JARDIM DE GOIÁS,GO,Centro-Oeste,5203401,8896,0,0,0,0,0,Nenhum,0,0
BOM JARDIM DE MINAS,MG,Sudeste,3107505,6644,0,0,0,0,1,Um,1,15.0511739915713
BOM JESUS,PB,Nordeste,2502201,2567,0,0,0,0,0,Nenhum,0,0
BOM JESUS,PI,Nordeste,2201903,24711,0,0,1,0,0,Um,1,4.04678078588483
BOM JESUS,RN,Nordeste,2401701,10254,0,0,0,0,0,Nenhum,0,0
BOM JESUS,RS,Sul,4302303,11773,0,0,1,0,1,Vários,2,16.9880234434724
BOM JESUS,SC,Sul,4202537,2919,0,0,0,0,0,Nenhum,0,0
BOM JESUS DA LAPA,BA,Nordeste,2903904,70618,0,0,3,0,0,Um,3,4.24820867200997
BOM JESUS DA PENHA,MG,Sudeste,3107604,4203,0,0,0,0,1,Um,1,23.7925291458482
BOM JESUS DA SERRA,BA,Nordeste,2903953,10477,0,0,0,0,0,Nenhum,0,0
BOM JESUS DAS SELVAS,MA,Nordeste,2102036,34278,0,0,0,0,0,Nenhum,0,0
BOM JESUS DE GOIÁS,GO,Centro-Oeste,5203500,23998,0,0,1,0,1,Vários,2,8.33402783565297
BOM JESUS DO AMPARO,MG,Sudeste,3107703,6018,0,0,0,0,1,Um,1,16.6168162180126
BOM JESUS DO ARAGUAIA,MT,Centro-Oeste,5101852,6266,0,0,0,0,0,Nenhum,0,0
BOM JESUS DO GALHO,MG,Sudeste,3107802,15459,0,0,0,0,0,Nenhum,0,0
BOM JESUS DO ITABAPOANA,RJ,Sudeste,3300605,36068,1,0,2,0,1,Vários,4,11.0901630253965
BOM JESUS DO NORTE,ES,Sudeste,3201100,10254,0,0,0,0,1,Um,1,9.75229178857031
BOM JESUS DO OESTE,SC,Sul,4202578,2151,0,0,0,0,0,Nenhum,0,0
BOM JESUS DO SUL,PR,Sul,4103156,3733,0,0,0,0,0,Nenhum,0,0
BOM JESUS DO TOCANTINS,PA,Norte,1501576,16517,0,0,0,0,1,Um,1,6.05436822667555
