Partido,Tipo,Total pago
PSDB,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO ,30520
PSDB,OUTROS ORDINÁRIAS,924
PSDB,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,173500
PSDB,PESSOAL ,378676.13
PSDB,PRODUÇÃO DE AUDIOVISUAIS ,1750
PSDB,PUBLICAÇÕES ,2040
PSDB,SERVIÇOS POSTAIS ,1353.3
PSDB,SERVIÇOS TÉCNICO-PROFISSIONAIS ,529230.41
PSDB,TELECOMUNICAÇÕES E INTERNET ,29702.07
PSDB,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,7950
PSDB,TRANSPORTES E VIAGENS ,135377.09
PSDB,TRIBUTOS ,14916.83
PSL,ALUGUÉIS E CONDOMÍNIOS ,18680
PSL,DESPESAS FINANCEIRAS ,1603.36
PSL,MATERIAL DE CONSUMO ,5500
PSL,TRANSPORTES E VIAGENS ,2000
PSOL,ALUGUÉIS E CONDOMÍNIOS ,1280
PSOL,ATIVO PERMANENTE ,3572.13
PSOL,DESPESAS FINANCEIRAS ,353.05
PSOL,PROPAGANDA E PUBLICIDADE ,1740
PSTU,ÁGUA E ESGOTO ,667.16
PSTU,ALUGUÉIS E CONDOMÍNIOS ,8250
PSTU,DESPESAS FINANCEIRAS ,1120.07
PSTU,DESPESAS JUDICIAIS ,7505.06
PSTU,ENERGIA ELÉTRICA ,554.17
PSTU,TELECOMUNICAÇÕES E INTERNET ,314.72
PSTU,TRIBUTOS ,289.85
PT,ÁGUA E ESGOTO ,5809.42
PT,ALUGUÉIS E CONDOMÍNIOS ,40804.92
PT,ATIVO PERMANENTE ,103675
PT,CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ,609.75
PT,DESPESAS FINANCEIRAS ,8786.55
PT,DESPESAS JUDICIAIS ,1046.66
PT,ENERGIA ELÉTRICA ,10480.8
PT,EVENTOS PROMOCIONAIS ,11669.36
PT,LANCHES E REFEIÇÕES ,12433.97
PT,MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ,8305.04
PT,MATERIAL DE CONSUMO ,73998.39
PT,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA ,16360
PT,OUTRAS DESPESAS GERAIS ,299.9
PT,OUTROS ORDINÁRIAS,998.29
PT,PESSOAL ,163090.36
PT,PRODUÇÃO DE AUDIOVISUAIS ,45740
PT,PROPAGANDA E PUBLICIDADE ,35550
PT,PUBLICAÇÕES ,2279
PT,RÁDIO E TELEVISÃO ,34777
PT,SEGURANÇA E VIGILÂNCIA ,10662.62
PT,SERVIÇOS CARTORÁRIOS ,13184.28
PT,SERVIÇOS POSTAIS ,226
PT,SERVIÇOS TÉCNICO-PROFISSIONAIS ,394973.16
PT,TELECOMUNICAÇÕES E INTERNET ,8286.47
PT,TRANSPORTES E VIAGENS ,64395.52
PT,TRIBUTOS ,46382.78
PTB,ÁGUA E ESGOTO ,1332.64
PTB,ALUGUÉIS E CONDOMÍNIOS ,134178.45
PTB,ATIVO PERMANENTE ,10869.65
PTB,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS ,809.25
PTB,DESPESAS FINANCEIRAS ,909.83
PTB,DESPESAS JUDICIAIS ,22160.23
PTB,ENERGIA ELÉTRICA ,7407.86
PTB,EVENTOS PROMOCIONAIS ,21300
PTB,MATERIAL DE CONSUMO ,2904.86
PTB,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,55400
PTB,PESSOAL ,12000
PTB,PROPAGANDA E PUBLICIDADE ,160000
PTB,RÁDIO E TELEVISÃO ,3000
PTB,SEGURANÇA E VIGILÂNCIA ,2820
PTB,SERVIÇOS TÉCNICO-PROFISSIONAIS ,124790
PTB,TELECOMUNICAÇÕES E INTERNET ,5655.89
PTB,TRANSPORTES E VIAGENS ,66708.39
PV,DESPESAS FINANCEIRAS ,5102.29
REDE,ALUGUÉIS E CONDOMÍNIOS ,5240
REDE,ATIVO PERMANENTE ,289
REDE,DESPESAS FINANCEIRAS ,826.35
REDE,ENERGIA ELÉTRICA ,742.41
